Pos.,DataBase,Total,AGR,ADY,PDLY,hIndex,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,WoS,5329,-138.5,565.0,21.2,119,0,0,0,0,0,0,0,0,0,0,0,30,37,32,31,44,48,71,106,125,143,148,188,189,180,233,304,499,496,617,678,729,401
2,Scopus,4746,111.0,500.0,21.1,69,6,11,9,3,12,15,21,17,33,24,36,13,14,30,37,42,69,70,87,130,160,174,235,251,268,300,359,294,343,316,367,411,589
